"year";"month";"top_of_month";"employee_id";"employee_name";"order_count";"revenue";"avg_revenue";"employees_abc_class"
1996.0;12.0;3;6;Suyama Michael;3;5782;1927;B
1996.0;12.0;4;8;Callahan Laura;4;6612;1653;A
1996.0;12.0;5;2;Fuller Andrew;4;6409;1602;B
1996.0;12.0;6;1;Davolio Nancy;9;9557;1062;A
1996.0;12.0;7;3;Leverling Janet;4;2759;690;C
1996.0;12.0;8;9;Dodsworth Anne;1;166;166;C
1997.0;1.0;1;7;King Robert;3;13703;4568;A
1997.0;1.0;2;4;Peacock Margaret;8;25620;3203;A
1997.0;1.0;3;1;Davolio Nancy;3;7332;2444;B
1997.0;1.0;4;8;Callahan Laura;5;6701;1340;B
1997.0;1.0;5;9;Dodsworth Anne;1;1208;1208;C
1997.0;1.0;6;3;Leverling Janet;7;7478;1068;A
1997.0;1.0;7;2;Fuller Andrew;4;3150;788;C
1997.0;1.0;8;6;Suyama Michael;2;1500;750;C
1997.0;2.0;1;7;King Robert;1;3891;3891;B
1997.0;2.0;2;4;Peacock Margaret;6;13530;2255;A
1997.0;2.0;3;2;Fuller Andrew;1;1584;1584;C
1997.0;2.0;4;1;Davolio Nancy;2;2505;1252;B
1997.0;2.0;5;3;Leverling Janet;9;10581;1176;A
1997.0;2.0;6;8;Callahan Laura;8;7764;971;A
1997.0;2.0;7;6;Suyama Michael;2;1352;676;C
1997.0;3.0;1;3;Leverling Janet;3;11599;3866;A
1997.0;3.0;2;7;King Robert;2;3867;1934;A
1997.0;3.0;3;9;Dodsworth Anne;1;1771;1771;C
1997.0;3.0;4;4;Peacock Margaret;4;5645;1411;A
1997.0;3.0;5;1;Davolio Nancy;5;5494;1099;A
1997.0;3.0;6;5;Buchanan Steven;3;2634;878;B
1997.0;3.0;7;8;Callahan Laura;6;4806;801;A
1997.0;3.0;8;2;Fuller Andrew;4;2905;726;B
1997.0;3.0;9;6;Suyama Michael;2;1258;629;C
1997.0;4.0;1;2;Fuller Andrew;3;14019;4673;A
1997.0;4.0;2;6;Suyama Michael;4;9691;2423;B
1997.0;4.0;3;3;Leverling Janet;5;10297;2059;A
1997.0;4.0;4;4;Peacock Margaret;8;14333;1792;A
1997.0;4.0;5;7;King Robert;6;5707;951;C
1997.0;4.0;6;8;Callahan Laura;2;800;400;C
1997.0;4.0;7;9;Dodsworth Anne;2;611;305;C
1997.0;4.0;8;1;Davolio Nancy;1;240;240;C
1997.0;5.0;1;3;Leverling Janet;5;18640;3728;A
1997.0;5.0;2;5;Buchanan Steven;2;5128;2564;B
1997.0;5.0;3;1;Davolio Nancy;5;9168;1834;A
1997.0;5.0;4;2;Fuller Andrew;3;4590;1530;C
1997.0;5.0;5;4;Peacock Margaret;5;7573;1515;A
1997.0;5.0;6;7;King Robert;5;6041;1208;A
1997.0;5.0;7;8;Callahan Laura;4;4793;1198;B
1997.0;5.0;8;6;Suyama Michael;2;752;376;C
1997.0;5.0;9;9;Dodsworth Anne;1;140;140;C
1997.0;6.0;1;6;Suyama Michael;2;4228;2114;A
1997.0;6.0;2;7;King Robert;1;2082;2082;C
1997.0;6.0;3;2;Fuller Andrew;4;7059;1765;A
1997.0;6.0;4;5;Buchanan Steven;2;3125;1562;B
1997.0;6.0;5;1;Davolio Nancy;4;6113;1528;A
1997.0;6.0;6;9;Dodsworth Anne;3;3762;1254;A
1997.0;6.0;7;3;Leverling Janet;6;5872;979;A
1997.0;6.0;8;8;Callahan Laura;3;2616;872;B
1997.0;6.0;9;4;Peacock Margaret;5;4232;846;A
1997.0;7.0;1;5;Buchanan Steven;1;6475;6475;A
1997.0;7.0;2;2;Fuller Andrew;3;10320;3440;A
1997.0;7.0;3;1;Davolio Nancy;7;19998;2857;A
1997.0;7.0;4;7;King Robert;5;6145;1229;A
1997.0;7.0;5;4;Peacock Margaret;6;6105;1017;B
1997.0;7.0;6;8;Callahan Laura;6;3984;664;C
1997.0;7.0;7;6;Suyama Michael;2;1301;650;C
1997.0;7.0;8;3;Leverling Janet;2;1109;555;C
1997.0;7.0;9;9;Dodsworth Anne;1;28;28;C
1997.0;8.0;1;7;King Robert;3;7853;2618;A
1997.0;8.0;2;6;Suyama Michael;2;3982;1991;B
1997.0;8.0;3;9;Dodsworth Anne;1;1928;1928;C
1997.0;8.0;4;1;Davolio Nancy;3;5119;1706;A
1997.0;8.0;5;4;Peacock Margaret;11;16767;1524;A
1997.0;8.0;6;3;Leverling Janet;4;5882;1470;A
1997.0;8.0;7;5;Buchanan Steven;3;3637;1212;C
1997.0;8.0;8;8;Callahan Laura;5;4756;951;B
1997.0;8.0;9;2;Fuller Andrew;1;58;58;C
1997.0;9.0;1;9;Dodsworth Anne;2;10412;5206;A
1997.0;9.0;2;7;King Robert;5;13839;2768;A
1997.0;9.0;3;4;Peacock Margaret;5;8148;1630;B
1997.0;9.0;4;2;Fuller Andrew;7;9622;1375;A
1997.0;9.0;5;1;Davolio Nancy;8;8462;1058;A
1997.0;9.0;6;5;Buchanan Steven;2;2092;1046;C
1997.0;9.0;7;8;Callahan Laura;3;2891;964;C
1997.0;9.0;8;3;Leverling Janet;4;3595;899;B
1997.0;9.0;9;6;Suyama Michael;1;671;671;C
1997.0;10.0;1;2;Fuller Andrew;1;10165;10165;A
1997.0;10.0;2;5;Buchanan Steven;3;8365;2788;B
1997.0;10.0;3;1;Davolio Nancy;7;12920;1846;A
1997.0;10.0;4;6;Suyama Michael;4;6691;1673;C
1997.0;10.0;5;8;Callahan Laura;7;11598;1657;A
1997.0;10.0;6;4;Peacock Margaret;7;10997;1571;A
1997.0;10.0;7;3;Leverling Janet;7;8573;1225;A
1997.0;10.0;8;7;King Robert;1;642;642;C
1997.0;10.0;9;9;Dodsworth Anne;1;378;378;C
1997.0;11.0;1;9;Dodsworth Anne;3;7398;2466;A
1997.0;11.0;2;8;Callahan Laura;2;4338;2169;A
1997.0;11.0;3;7;King Robert;1;1990;1990;C
1997.0;11.0;4;1;Davolio Nancy;3;4107;1369;B
1997.0;11.0;5;6;Suyama Michael;5;6566;1313;A
1997.0;11.0;6;4;Peacock Margaret;6;7685;1281;A
1997.0;11.0;7;3;Leverling Janet;8;9668;1209;A
1997.0;11.0;8;2;Fuller Andrew;5;3652;730;B
1997.0;11.0;9;5;Buchanan Steven;1;510;510;C
1997.0;12.0;1;1;Davolio Nancy;7;16077;2297;A
1997.0;12.0;2;4;Peacock Margaret;10;18843;1884;A
1997.0;12.0;3;3;Leverling Janet;11;18494;1681;A
1997.0;12.0;4;6;Suyama Michael;5;8000;1600;A
1997.0;12.0;5;8;Callahan Laura;3;4728;1576;C
1997.0;12.0;6;2;Fuller Andrew;5;7835;1567;B
1997.0;12.0;7;9;Dodsworth Anne;3;1942;647;C
1997.0;12.0;8;5;Buchanan Steven;1;630;630;C
1997.0;12.0;9;7;King Robert;3;928;309;C
1998.0;1.0;1;4;Peacock Margaret;6;21029;3505;A
1998.0;1.0;2;5;Buchanan Steven;4;12280;3070;A
1998.0;1.0;3;3;Leverling Janet;10;27833;2783;A
1998.0;1.0;4;8;Callahan Laura;7;12093;1728;A
1998.0;1.0;5;7;King Robert;4;6610;1653;B
1998.0;1.0;6;9;Dodsworth Anne;5;5627;1125;B
1998.0;1.0;7;1;Davolio Nancy;9;8712;968;B
1998.0;1.0;8;2;Fuller Andrew;7;4694;671;C
1998.0;1.0;9;6;Suyama Michael;3;1976;659;C
1998.0;2.0;1;2;Fuller Andrew;3;26057;8686;A
1998.0;2.0;2;9;Dodsworth Anne;4;19326;4831;A
1998.0;2.0;3;3;Leverling Janet;6;21540;3590;A
1998.0;2.0;4;1;Davolio Nancy;9;11587;1287;A
1998.0;2.0;5;7;King Robert;6;6796;1133;B
1998.0;2.0;6;5;Buchanan Steven;6;5872;979;C
1998.0;2.0;7;4;Peacock Margaret;14;11325;809;B
1998.0;2.0;8;6;Suyama Michael;4;1953;488;C
1998.0;2.0;9;8;Callahan Laura;2;106;53;C
1998.0;3.0;1;1;Davolio Nancy;11;24847;2259;A
1998.0;3.0;2;8;Callahan Laura;10;20886;2089;A
1998.0;3.0;3;7;King Robert;4;7131;1783;B
1998.0;3.0;4;2;Fuller Andrew;9;14351;1595;A
1998.0;3.0;5;3;Leverling Janet;12;18358;1530;A
1998.0;3.0;6;5;Buchanan Steven;2;2645;1322;C
1998.0;3.0;7;9;Dodsworth Anne;6;7567;1261;B
1998.0;3.0;8;6;Suyama Michael;7;5206;744;C
1998.0;3.0;9;4;Peacock Margaret;12;8835;736;A
1998.0;4.0;1;7;King Robert;9;34793;3866;A
1998.0;4.0;2;9;Dodsworth Anne;4;9501;2375;C
1998.0;4.0;3;2;Fuller Andrew;18;32681;1816;A
1998.0;4.0;4;1;Davolio Nancy;8;13621;1703;B
1998.0;4.0;5;8;Callahan Laura;9;14055;1562;A
1998.0;4.0;6;3;Leverling Janet;10;14299;1430;A
1998.0;4.0;7;6;Suyama Michael;5;5340;1068;C
1998.0;4.0;8;4;Peacock Margaret;10;10130;1013;B
1998.0;4.0;9;5;Buchanan Steven;1;210;210;C
1998.0;5.0;1;4;Peacock Margaret;2;6275;3137;A
1998.0;5.0;2;1;Davolio Nancy;5;7054;1411;A
1998.0;5.0;3;2;Fuller Andrew;2;2174;1087;B
1998.0;5.0;4;8;Callahan Laura;3;3223;1074;B
1998.0;5.0;5;7;King Robert;2;1173;587;C
